created_at;";data;;;;data_payload;;;;;vazao";
11/10/17;"07:16:35.295125-03;2017-10-11 07:16;07:16;12:07:00";"AM;7;0b00c79e;00c79e;51102;173;24,71428571;24,71428571"
11/10/17;"07:09:07.841687-03;2017-10-11 07:09;07:09;12:08:00";"AM;8;0b00c6f1;00c6f1;50929;155;19,375;19,375"
11/10/17;"07:01:31.76002-03;2017-10-11 07:01;07:01;12:08:00";"AM;8;0b00c656;00c656;50774;107;13,375;13,375"
11/10/17;"06:53:56.654137-03;2017-10-11 06:53;06:53;12:07:00";"AM;7;0b00c5eb;00c5eb;50667;38;5,428571429;5,428571429"
11/10/17;"06:46:28.105051-03;2017-10-11 06:46;06:46;12:08:00";"AM;8;0b00c5c5;00c5c5;50629;3;0,375;0,375"
11/10/17;"06:38:57.179777-03;2017-10-11 06:38;06:38;12:07:00";"AM;7;0b00c5c2;00c5c2;50626;0;0;0"
11/10/17;"06:31:30.728445-03;2017-10-11 06:31;06:31;12:08:00";"AM;8;0b00c5c2;00c5c2;50626;0;0;0"
11/10/17;"06:23:50.982935-03;2017-10-11 06:23;06:23;12:22:00";"AM;22;0b00c5c2;00c5c2;50626;0;0;0"
11/10/17;"06:01:09.563493-03;2017-10-11 06:01;06:01;12:16:00";"AM;16;0b00c5c2;00c5c2;50626;0;0;0"
11/10/17;"05:45:45.781153-03;2017-10-11 05:45;05:45;12:07:00";"AM;7;0b00c5c2;00c5c2;50626;0;0;0"
11/10/17;"05:38:10.435057-03;2017-10-11 05:38;05:38;12:15:00";"AM;15;0b00c5c2;00c5c2;50626;0;0;0"
11/10/17;"05:23:13.085947-03;2017-10-11 05:23;05:23;12:08:00";"AM;8;0b00c5c2;00c5c2;50626;0;0;0"
11/10/17;"05:15:24.576789-03;2017-10-11 05:15;05:15;12:08:00";"AM;8;0b00c5c2;00c5c2;50626;0;0;0"
11/10/17;"05:07:53.639013-03;2017-10-11 05:07;05:07;12:15:00";"AM;15;0b00c5c2;00c5c2;50626;0;0;0"
11/10/17;"04:52:47.3812-03;2017-10-11 04:52;04:52;12:07:00 A";"M;7;0b00c5c2;00c5c2;50626;1;0,142857143;0,142857143"
11/10/17;"04:45:13.289565-03;2017-10-11 04:45;04:45;12:08:00";"AM;8;0b00c5c1;00c5c1;50625;1;0,125;0,125"
11/10/17;"04:37:31.341174-03;2017-10-11 04:37;04:37;12:08:00";"AM;8;0b00c5c0;00c5c0;50624;1;0,125;0,125"
11/10/17;"04:29:58.913754-03;2017-10-11 04:29;04:29;12:07:00";"AM;7;0b00c5bf;00c5bf;50623;1;0,142857143;0,142857143"
11/10/17;"04:22:26.942112-03;2017-10-11 04:22;04:22;12:08:00";"AM;8;0b00c5be;00c5be;50622;1;0,125;0,125"
11/10/17;"04:14:54.847748-03;2017-10-11 04:14;04:14;12:07:00";"AM;7;0b00c5bd;00c5bd;50621;1;0,142857143;0,142857143"
11/10/17;"04:07:31.350678-03;2017-10-11 04:07;04:07;12:08:00";"AM;8;0b00c5bc;00c5bc;50620;1;0,125;0,125"
11/10/17;"03:59:54.699883-03;2017-10-11 03:59;03:59;12:07:00";"AM;7;0b00c5bb;00c5bb;50619;1;0,142857143;0,142857143"
11/10/17;"03:52:18.435376-03;2017-10-11 03:52;03:52;12:15:00";"AM;15;0b00c5ba;00c5ba;50618;2;0,133333333;0,133333333"
11/10/17;"03:37:36.767516-03;2017-10-11 03:37;03:37;12:08:00";"AM;8;0b00c5b8;00c5b8;50616;2;0,25;0,25"
11/10/17;"03:29:53.319253-03;2017-10-11 03:29;03:29;12:07:00";"AM;7;0b00c5b6;00c5b6;50614;2;0,285714286;0,285714286"
11/10/17;"03:22:18.849446-03;2017-10-11 03:22;03:22;12:07:00";"AM;7;0b00c5b4;00c5b4;50612;2;0,285714286;0,285714286"
11/10/17;"03:15:06.420087-03;2017-10-11 03:15;03:15;12:08:00";"AM;8;0b00c5b2;00c5b2;50610;2;0,25;0,25"
11/10/17;"03:07:27.799479-03;2017-10-11 03:07;03:07;12:08:00";"AM;8;0b00c5b0;00c5b0;50608;2;0,25;0,25"
11/10/17;"02:59:48.887529-03;2017-10-11 02:59;02:59;12:07:00";"AM;7;0b00c5ae;00c5ae;50606;2;0,285714286;0,285714286"
